track_id	track_name	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	duration_ms	time_signature
5eyk6upjkaXG3MAKqCt70K	Follow You	0.806	0.589	1.0	-10.459	1.0	0.0457	0.156	0.0693	0.115	0.477	114.053	audio_features	147368.0	4.0
0WDjZuWS4Z0ATgR8eL5cr1	CHARGER (ft. Charli XCX)	0.726	0.53	4.0	-5.736	0.0	0.0518	0.000716	0.00211	0.0502	0.374	99.024	audio_features	236364.0	4.0
0LJTfmgOMvlLd0u4HU9twm	Killshot	0.771	0.553	11.0	-8.741	0.0	0.121	0.0166	3.78e-05	0.145	0.484	115.002	audio_features	177725.0	4.0
2m3RjRXib3un5AEh08k8Fe	Recap (with VanJess & Channel Tres)	0.578	0.947	11.0	-2.431	0.0	0.0359	0.00744	0.0816	0.105	0.456	134.033	audio_features	246007.0	4.0
3WXhshrs1fzwF3rQE399Gq	Kill V. Maim	0.737	0.834	6.0	-6.094	0.0	0.0353	0.212	0.000342	0.106	0.747	118.026	audio_features	211525.0	4.0
3fUmLhmEfgmpLhzkBpghIx	Senorita	0.751	0.594	0.0	-6.121	0.0	0.0485	0.109	0.0	0.651	0.649	91.034	audio_features	237321.0	4.0
7x1n8vjtk3wgzdD3I6n2VX	WING	0.465	0.884	6.0	-3.587	1.0	0.0902	0.000633	0.00183	0.0543	0.471	170.015	audio_features	322240.0	4.0
00HkIbEdDBcjT3eXozMMmX	All I Want Is You - DJ Shimamura Remix	0.699	0.939	1.0	-5.855	1.0	0.0695	0.00981	0.0	0.352	0.761	108.007	audio_features	380227.0	4.0
4OtnAKoctwlWQu9VDp8hKU	DOPAMINE	0.768	0.691	6.0	-6.616	1.0	0.176	0.324	6.48e-06	0.181	0.954	93.01	audio_features	321000.0	4.0
1ohpgdHFmAdZGoiLO4iVcp	ONE DAY - 夜空remix	0.559	0.841	6.0	-3.166	1.0	0.126	0.0017	0.295	0.134	0.727	131.959	audio_features	213267.0	4.0
2cyyl5RalaGafQ8M0RYZVX	御祭騒ぎ	0.663	0.783	6.0	-4.585	1.0	0.0393	0.0134	0.00179	0.325	0.622	123.986	audio_features	178088.0	4.0
7jXQUrVhEpXdymfFWNDnQW	BED	0.739	0.628	8.0	-4.137	1.0	0.0703	0.0245	0.0	0.266	0.634	120.944	audio_features	239457.0	4.0
1nyyEarKbjbGm3iJqvZknV	R U HIGH (feat. Mallrat)	0.865	0.792	4.0	-4.207	1.0	0.0677	0.168	1.46e-05	0.107	0.562	101.985	audio_features	189496.0	4.0
3MEruRteiUZXkStfTlZqRn	Back to the Streets (feat. Jhené Aiko)	0.753	0.749	6.0	-5.214	1.0	0.0314	0.0546	4.39e-06	0.166	0.589	121.988	audio_features	175082.0	4.0
7pDdE5FLqcNCvjxzRzm80r	Breathe (feat. kaspara)	0.554	0.921	5.0	-10.347	0.0	0.0395	0.000415	0.894	0.957	0.567	124.008	audio_features	360933.0	4.0
6wVViUl2xSRoDK2T7dMZbR	Bizarre Love Triangle	0.613	0.885	10.0	-7.463	1.0	0.052	0.0804	0.746	0.0997	0.919	118.506	audio_features	263213.0	4.0
648o2Rr0NT2lfOugdltcF4	Stand by me	0.48	0.941	11.0	-2.382	0.0	0.0435	0.000919	1.67e-06	0.34	0.53	100.974	audio_features	220987.0	4.0
5dn6QANKbf76pANGjMBida	Blueberry Eyes (feat. SUGA of BTS)	0.746	0.611	0.0	-7.034	0.0	0.101	0.454	0.000922	0.133	0.411	149.967	audio_features	172245.0	4.0
5428XgSLRJfpMRN3r6YXob	Holiday	0.691	0.68	5.0	-6.007	1.0	0.185	0.0875	0.0	0.0618	0.676	106.106	audio_features	213600.0	4.0
4FrglJdEIDf5c47Th9TCaf	BED	0.754	0.458	1.0	-5.74	0.0	0.0339	0.0208	0.0	0.222	0.342	120.035	audio_features	242040.0	4.0
6xGdjzGQ3innlYpjJCn7op	Vibez	0.624	0.671	7.0	-7.454	1.0	0.0895	0.243	0.014	0.119	0.302	96.892	audio_features	163347.0	4.0
2usBge47PridtlZgu1hsQI	OH feat. 清水翔太, OZworld	0.696	0.795	6.0	-6.513	1.0	0.0417	0.00955	0.0	0.198	0.306	87.52	audio_features	192133.0	4.0
2Ryp5LkAWyJwRqoFd8N7Kk	move	0.661	0.633	5.0	-8.819	0.0	0.052	0.0227	9.86e-05	0.104	0.782	104.934	audio_features	148571.0	4.0
2zLLUKyL10JBXPqUS7e7Ne	Count Me In (with Kiana Ledé)	0.643	0.676	5.0	-7.351	0.0	0.0441	0.362	5.99e-06	0.125	0.409	130.028	audio_features	194480.0	4.0
0bbrsFG5BNrJgbsKVuRRH0	ALL MINE	0.848	0.538	10.0	-6.396	1.0	0.0387	0.388	0.0	0.16	0.678	114.008	audio_features	212105.0	4.0
7t4ihBlcMdkyUeO6W1DfYH	Baby Powder	0.784	0.521	1.0	-8.217	0.0	0.0529	0.323	0.000283	0.0518	0.682	78.456	audio_features	180435.0	3.0
6Vdyu21iT8qScU1haSjWUU	Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)	0.76	0.755	6.0	-4.735	0.0	0.19	0.0163	2.95e-06	0.0909	0.517	101.993	audio_features	171647.0	4.0
20dP2DaMHIAmwWAbp7peSr	pick up the phone	0.711	0.739	7.0	-3.804	0.0	0.129	0.114	0.0	0.226	0.43	136.919	audio_features	252256.0	4.0
7aJwamBFV2pjHTXUnlDgZb	FWM	0.615	0.551	7.0	-6.763	0.0	0.144	0.285	0.00105	0.109	0.363	142.019	audio_features	196657.0	4.0
1Jz1yhcPm1Yt6aoed3zact	Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Latto)	0.721	0.565	0.0	-9.157	0.0	0.28	0.248	0.0	0.284	0.597	93.8	audio_features	227234.0	4.0
2pEZ4Z8fxsxm3t03SEHPpp	Time	0.479	0.478	5.0	-8.884	1.0	0.11	0.0601	7.16e-06	0.0813	0.117	100.04	audio_features	297502.0	4.0
25AA0A6Qvq9leS9zyeWbln	I'm Thru	0.716	0.622	9.0	-8.251	1.0	0.0529	0.646	0.377	0.0897	0.644	108.004	audio_features	191335.0	4.0
1Yd7meWF4xNR13vys5IpUh	What Do You Say (Move It Baby) [Feat. PJ]	0.793	0.699	6.0	-9.849	1.0	0.37	0.0199	0.000183	0.108	0.897	98.957	audio_features	242347.0	4.0
7i3w3XKNdPONRlenXNVtzs	The Way Things Were	0.72	0.668	7.0	-4.463	0.0	0.183	0.525	1.57e-06	0.213	0.646	98.002	audio_features	227926.0	4.0
3BV77xzAuZDsYSsfxe45pH	真夜中のナイチンゲール	0.494	0.506	0.0	-5.767	1.0	0.035	0.27	0.0	0.332	0.383	143.657	audio_features	319227.0	4.0
6CUTYJQKcDwcQ63EulINUo	Officially Missing You	0.476	0.407	4.0	-9.239	0.0	0.0368	0.247	0.0	0.144	0.226	178.258	audio_features	242467.0	4.0
0jxwM7hVrYwHnBbAo4TYFU	ほんとは feat. Kan Sano	0.708	0.659	6.0	-5.653	0.0	0.0423	0.0213	0.0386	0.315	0.65	88.018	audio_features	238685.0	4.0
1OKy6TtXWD7oz1b1dComxI	Girl Like Me (feat. H.E.R.)	0.613	0.626	9.0	-3.905	1.0	0.0755	0.657	0.0	0.599	0.676	81.364	audio_features	223842.0	4.0
5BaRUqTZmFhG9ux7OAnsc8	ソレイユ	0.671	0.866	2.0	-5.101	1.0	0.0594	0.0574	0.0	0.544	0.572	123.966	audio_features	195400.0	4.0
1Kj1cykZxTiOt0rQlFzGXr	JEAN POCKET	0.919	0.487	6.0	-8.035	0.0	0.0637	0.0989	0.0	0.223	0.975	134.033	audio_features	173780.0	4.0
0xJWNEUYTU5tle6ezjf0gE	Mad At Me.	0.735	0.585	0.0	-5.111	0.0	0.211	0.0775	7.13e-06	0.0996	0.447	82.429	audio_features	135373.0	4.0
4i1sWZe3erL8QVRCdwMoxT	Comeback.	0.568	0.557	7.0	-7.163	1.0	0.142	0.197	0.0	0.701	0.563	126.882	audio_features	183373.0	4.0
3G9zeErd0kMx012kmYUrm7	Lose My Cool	0.717	0.482	3.0	-8.071	1.0	0.0465	0.564	0.000235	0.0921	0.321	103.006	audio_features	214578.0	4.0
5gppv4reKPtycRZiFmg6sQ	One Hundred & Two	0.754	0.637	11.0	-6.841	1.0	0.0258	0.379	0.0	0.0845	0.314	104.02	audio_features	196154.0	4.0
68IM1E6gBT2s7b5G8rc8Qc	Blue in Green	0.788	0.792	0.0	-5.291	1.0	0.161	0.576	4.93e-05	0.368	0.599	115.086	audio_features	281000.0	4.0
5zGVKcQ8WtOkVJLbO1L48g	バニラと美里BIG CITY NIGHTS	0.465	0.693	1.0	-6.397	1.0	0.242	0.000187	0.932	0.269	0.486	109.744	audio_features	122489.0	4.0
0ZXdzaT1k688dkpNeEgQiV	I Don't Know Why	0.499	0.898	8.0	-4.181	0.0	0.124	0.124	7.2e-06	0.0832	0.618	120.04	audio_features	207668.0	4.0
0OJySDUknbY48SMBarBOYj	Smells Like Teen Spirit - R3HAB VIP Remix	0.598	0.623	7.0	-6.924	0.0	0.0511	0.066	0.0	0.0657	0.231	120.118	audio_features	185000.0	4.0
4pzzaaaTIajfI2MmCgMiP8	グルグル	0.687	0.569	2.0	-5.699	0.0	0.0454	0.104	9.15e-06	0.11	0.333	91.019	audio_features	260320.0	4.0
0vsYpv4N0hcGEFm1UAYjQy	What a Fool Believes	0.742	0.644	11.0	-10.146	0.0	0.0321	0.195	0.000208	0.0284	0.959	119.882	audio_features	264893.0	4.0
3DKzKLzJcMtPQvSEaoX62t	Preaching To The Choir	0.707	0.659	10.0	-7.374	0.0	0.0445	0.292	0.0	0.116	0.57	95.021	audio_features	210028.0	4.0
